"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-20,,,,0,0,35,9,1314293
2023-06-21,,,,0,0,25,6,1013144
2023-06-01,,,,0,0,20,7,946879
2023-06-05,,,,0,0,21,7,872003
2023-06-22,,,,0,0,21,9,777029
2023-06-08,,,,0,0,22,6,716489
2023-06-27,,,,0,0,20,5,695288
2023-06-07,,,,0,0,24,4,541923
2023-06-29,,,,0,0,13,4,502144
2023-06-19,,,,0,0,30,5,496017
2023-06-02,,,,0,0,17,6,476654
2023-06-28,,,,0,0,18,3,364166
2023-06-13,,,,0,0,16,4,353616
2023-06-09,,,,0,0,17,4,344631
2023-06-14,,,,0,0,25,3,340083
